the_geom,SCHOOL_ID,Short_Name,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
POINT (-87.74009743581296 41.807578506885676),400009,GLOBAL CITIZENSHIP CHTR,"4647 W 47th St, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7",Charter,-87.74009744,41.80757851
POINT (-87.62584903655835 41.79612150956602),400010,ACE TECHNICAL CHTR HS,"5410 S State St, 60609",HS,"9, 10, 11, 12",Charter,-87.62584904,41.79612151
POINT (-87.70523452593643 41.87724835219521),400011,"LOCKE, A CHTR","3141 W Jackson Blvd, 60612",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.70523453,41.87724835
POINT (-87.63547156881552 41.770802253761666),400012,AMANDLA CHTR HS,"6800 S Stewart Ave, 60621",HS,"5, 6, 7, 8, 9, 10, 11",Charter,-87.63547157,41.77080225
POINT (-87.72709565849537 41.93729828444937),400013,ASPIRA CHTR - EARLY COLLEGE HS,"3986 W Barry Ave, 60618",HS,"9, 10, 11, 12",Charter,-87.72709566,41.93729829
POINT (-87.69552183054235 41.912497606876556),400015,ASPIRA CHTR - RAMIREZ HS,"1711 N California Ave, 60647",HS,12,Charter,-87.69552183,41.91249761
POINT (-87.72182466520648 41.966405667183686),400017,ASPIRA CHTR - HAUGAN,"3729 W Leland Ave, 60625",ES,"6, 7, 8",Charter,-87.72182467,41.96640567
POINT (-87.76189101712734 41.88420467115555),400018,AUSTIN BUS & ENTRP HS,"231 N Pine Ave, 60644",HS,"9, 10, 11, 12",District,-87.76189102,41.88420467
POINT (-87.62662180195757 41.81927661036058),400019,BRONZEVILLE LIGHTHOUSE CHTR,"8 W Root St, 60609",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6266218,41.81927661
POINT (-87.7076985186806 41.858553288187935),400020,CATALYST CHTR - HOWLAND,"1616 S Spaulding Ave, 60623",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.70769852,41.85855329
POINT (-87.76532197832837 41.8823222208844),400021,CATALYST CHTR - CIRCLE ROCK,"5608 W Washington Blvd, 60644",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.76532198,41.88232222
POINT (-87.69494501176021 41.89937657239439),400022,CHGO ARTS CONTR HS,"2714 W Augusta Blvd, 60622",HS,"9, 10, 11, 12",Contract,-87.69494501,41.89937657
POINT (-87.58792764149399 41.74317941977078),400023,CICS - AVALON / SOUTH SHORE,"1501 E 83rd Pl, 60619",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.58792764,41.74317942
POINT (-87.67024265731233 41.79404286369821),400024,CICS - BASIL,"1816 W Garfield Blvd, 60609",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.67024266,41.79404286
POINT (-87.68135796494731 41.92241462911477),400025,CICS - BUCKTOWN,"2235 N Hamilton Ave, 60647",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.68135796,41.92241463
POINT (-87.65756105861855 41.72024642296584),400026,CICS - LOOMIS,"9535 S Loomis St, 60643",ES,"K, 1, 2",Charter,-87.65756106,41.72024642
POINT (-87.71049242850188 41.95089127467508),400027,CICS - IRVING PARK,"3820 N Spaulding Ave, 60618",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.71049243,41.95089128
POINT (-87.61688838173549 41.684433037932656),400028,CICS - PRAIRIE,"11530 S Prairie Ave, 60628",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.61688838,41.68443304
POINT (-87.62206845401445 41.78361684653966),400029,CICS - WASHINGTON PARK,"6105 S Michigan Ave, 60637",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.62206845,41.78361685
POINT (-87.77674853946418 41.92168749461324),400030,CICS - WEST BELDEN,"2245 N McVicker Ave, 60639",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.77674854,41.9216875
POINT (-87.69261439881286 41.74536544990311),400031,CICS - WRIGHTWOOD,"8130 S California Ave, 60652",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6926144,41.74536545
POINT (-87.66897963900723 41.74838240757893),400032,CICS - ELLISON,"1817 W 80th St, 60620",HS,"9, 10, 11, 12",Charter,-87.66897964,41.74838241
POINT (-87.65576813292576 41.72122143220191),400033,CICS - LONGWOOD,"1309 W 95th St, 60643",ES,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Charter,-87.65576813,41.72122143
POINT (-87.72650426434443 41.99024501132617),400034,CICS - NORTHTOWN,"3900 W Peterson Ave, 60659",HS,"9, 10, 11, 12",Charter,-87.72650426,41.99024501
