SCHOOL_ID,the_geom,Short_Name,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
610363,POINT (-87.64604753717727 41.956824029624705),DISNEY,"4140 N MARINE DR, 60613",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.64604754,41.95682403
610364,POINT (-87.61431990483878 41.65370553839573),DUBOIS,"330 E 133RD ST, 60827",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6143199,41.65370554
610366,POINT (-87.64800770232159 41.71619373087566),WACKER,"9746 S MORGAN ST, 60643",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6480077,41.71619373
610367,POINT (-87.76633426220086 41.87797815154666),DE PRIEST,"139 S PARKSIDE AVE, 60644",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.76633426,41.87797815
610368,POINT (-87.62986803481319 41.70531488223165),"HUGHES, L","240 W 104TH ST, 60628",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.62986803,41.70531488
610369,POINT (-87.64676751681917 41.734152908183354),"JACKSON, M","917 W 88TH ST, 60620",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.64676752,41.73415291
610380,POINT (-87.62441056233249 41.804558780827),"WILLIAMS, D","4934 S WABASH AVE, 60615",HS,"9, 10, 11, 12","District, non-alternative",-87.62441056,41.80455878
610381,POINT (-87.62441056233249 41.804558780827),BRONZEVILLE HS,"4934 S WABASH AVE, 60615",HS,"9, 10, 11, 12","District, non-alternative",-87.62441056,41.80455878
610383,POINT (-87.73412163532085 41.83603568270142),GREATER LAWNDALE HS,"3120 S KOSTNER AVE, 60623",HS,"9, 10, 11, 12","District, non-alternative",-87.73412164,41.83603568
610384,POINT (-87.73412163532085 41.83603568270142),INFINITY HS,"3120 S KOSTNER AVE, 60623",HS,"9, 10, 11, 12","District, non-alternative",-87.73412164,41.83603568
