SCHOOL_ID,Short_Name,SCH_ADDR,the_geom,GRADE_CAT,GRADES,SCH_TYPE,X,Y
610229,PRITZKER,"2009 W SCHILLER ST, 60622",POINT (-87.67776097466991 41.90705300696484),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.67776098,41.90705301
400070,PROLOGUE HS,"1135 N CLEAVER ST, 60642",POINT (-87.6637040126519 41.90289780287139),HS,"9, 10, 11, 12",Alternative/Contract,-87.66370401,41.9028978
400109,PROLOGUE-JOHNSTON CHTR HS,"1549 W 95TH ST, 60643",POINT (-87.66235834768572 41.72113722782958),HS,"9, 10, 11, 12",Alternative/Charter,-87.66235835,41.72113723
609679,PROSSER HS,"2148 N LONG AVE, 60639",POINT (-87.76104831920779 41.92005940171681),HS,"9, 10, 11, 12","District, non-alternative",-87.76104832,41.9200594
400071,PROVIDENCE CHTR-BUNCHE,"6515 S ASHLAND AVE, 60636",POINT (-87.66399582599819 41.775367365955574),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.66399583,41.77536737
610137,PRUSSING,"4650 N MENARD AVE, 60630",POINT (-87.77241416988358 41.9656190735731),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.77241417,41.96561907
610138,PULASKI,"2230 W MCLEAN AVE, 60647",POINT (-87.68380142942414 41.91848627953721),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.68380143,41.91848628
610139,PULLMAN,"11311 S FORRESTVILLE AVE, 60628",POINT (-87.60943096502469 41.68881935307556),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.60943096,41.68881935
610334,RABY HS,"3545 W FULTON BLVD, 60624",POINT (-87.71542311990193 41.8862100602605),HS,"9, 10, 11, 12","District, non-alternative",-87.71542312,41.88621006
609941,RANDOLPH,"7316 S HOYNE AVE, 60636",POINT (-87.67596551116446 41.76061412580968),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.67596551,41.76061413
610141,RAVENSWOOD,"4332 N PAULINA ST, 60613",POINT (-87.67092241556036 41.96074569354228),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.67092242,41.96074569
610142,RAY,"5631 S KIMBARK AVE, 60637",POINT (-87.59475207203288 41.79234787928085),ES,"PK, K, 1, 2, 3, 4, 5, 6","District, non-alternative",-87.59475207,41.79234788
610143,REAVIS,"834 E 50TH ST, 60615",POINT (-87.60492543168046 41.804173788275826),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.60492543,41.80417379
610264,REED,"6350 S STEWART AVE, 60621",POINT (-87.63511669356085 41.77836949651182),ES,"3, 4, 5, 6, 7, 8",Elementary School,-87.63511669,41.7783695
610144,REILLY,"3650 W SCHOOL ST, 60618",POINT (-87.71954053937334 41.94109399251493),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.71954054,41.94109399
610145,REINBERG,"3425 N MAJOR AVE, 60634",POINT (-87.76898262235966 41.94301889791256),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.76898262,41.9430189
610146,REVERE,"1010 E 72ND ST, 60619",POINT (-87.6001768197265 41.76419585978896),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9","District, non-alternative",-87.60017682,41.76419586
